,genre,year,word,freq
2,랩/힙합,2010,그,28
23,랩/힙합,2010,더,16
31,랩/힙합,2010,그땐,21
24,랩/힙합,2010,속,10
46,랩/힙합,2010,땡땡,10
47,랩/힙합,2010,땡,10
95,랩/힙합,2010,사람,12
4,랩/힙합,2010,네,14
12,랩/힙합,2010,곁,11
38,랩/힙합,2010,지금,11
32,랩/힙합,2010,그대,18
33,랩/힙합,2010,때문,20
4,랩/힙합,2011,내,64
7,랩/힙합,2011,난,14
17,랩/힙합,2011,그,11
19,랩/힙합,2011,나,47
21,랩/힙합,2011,안,12
24,랩/힙합,2011,말,37
34,랩/힙합,2011,맘,18
36,랩/힙합,2011,날,12
41,랩/힙합,2011,인생,10
46,랩/힙합,2011,밤,12
54,랩/힙합,2011,반복,18
57,랩/힙합,2011,사랑,29
59,랩/힙합,2011,도,11
68,랩/힙합,2011,수,16
80,랩/힙합,2011,힘,12
84,랩/힙합,2011,이,14
102,랩/힙합,2011,사람,10
5,랩/힙합,2011,너,33
11,랩/힙합,2011,니,13
41,랩/힙합,2011,끝,19
77,랩/힙합,2011,향,16
1,랩/힙합,2011,답,10
8,랩/힙합,2011,못,14
0,랩/힙합,2012,오,16
1,랩/힙합,2012,강남스타일,17
5,랩/힙합,2012,여자,22
11,랩/힙합,2012,밤,16
14,랩/힙합,2012,그런,12
16,랩/힙합,2012,나,54
17,랩/힙합,2012,사나이,10
18,랩/힙합,2012,너,86
20,랩/힙합,2012,전,11
24,랩/힙합,2012,그래,22
26,랩/힙합,2012,지금,20
27,랩/힙합,2012,데,10
34,랩/힙합,2012,때,17
46,랩/힙합,2012,놈,11
47,랩/힙합,2012,그,20
49,랩/힙합,2012,뭘,11
50,랩/힙합,2012,좀,13
0,랩/힙합,2012,충분히,11
1,랩/힙합,2012,예뻐,11
3,랩/힙합,2012,남자,11
4,랩/힙합,2012,때문,13
7,랩/힙합,2012,넌,55
9,랩/힙합,2012,걸,17
12,랩/힙합,2012,이,19
20,랩/힙합,2012,말,16
31,랩/힙합,2012,널,40
34,랩/힙합,2012,사람,19
39,랩/힙합,2012,네,19
50,랩/힙합,2012,내,56
55,랩/힙합,2012,안,11
63,랩/힙합,2012,난,34
71,랩/힙합,2012,못,10
72,랩/힙합,2012,거기,33
73,랩/힙합,2012,사랑,18
8,랩/힙합,2012,어땠을까,19
25,랩/힙합,2012,우리,14
44,랩/힙합,2012,줄,11
61,랩/힙합,2012,아무,10
73,랩/힙합,2012,것,19
11,랩/힙합,2012,그리워,10
16,랩/힙합,2012,젠,18
22,랩/힙합,2012,맘,15
27,랩/힙합,2012,날,22
32,랩/힙합,2012,안녕,14
47,랩/힙합,2012,건,17
59,랩/힙합,2012,하나,20
69,랩/힙합,2012,노래,14
79,랩/힙합,2012,니,19
73,랩/힙합,2012,끝,16
0,랩/힙합,2012,문자,11
47,랩/힙합,2012,춥다,14
0,랩/힙합,2012,돈,23
3,랩/힙합,2012,세상,11
31,랩/힙합,2012,아니야,12
1,랩/힙합,2013,문자,17
2,랩/힙합,2013,시간,17
3,랩/힙합,2013,그녀,23
5,랩/힙합,2013,오늘,27
6,랩/힙합,2013,밤,30
11,랩/힙합,2013,이,27
12,랩/힙합,2013,내,143
16,랩/힙합,2013,없는,31
17,랩/힙합,2013,거리,13
24,랩/힙합,2013,맘,30
27,랩/힙합,2013,널,65
28,랩/힙합,2013,생각,15
31,랩/힙합,2013,못,11
33,랩/힙합,2013,나,67
34,랩/힙합,2013,넌,74
38,랩/힙합,2013,일,12
39,랩/힙합,2013,난,97
46,랩/힙합,2013,때,17
49,랩/힙합,2013,니,40
50,랩/힙합,2013,앞,16
56,랩/힙합,2013,어떻게,19
57,랩/힙합,2013,해,24
58,랩/힙합,2013,너,135
59,랩/힙합,2013,왜,35
63,랩/힙합,2013,뭘,10
64,랩/힙합,2013,여자,17
65,랩/힙합,2013,길,10
68,랩/힙합,2013,데,14
71,랩/힙합,2013,말,51
73,랩/힙합,2013,좀,17
77,랩/힙합,2013,것,40
81,랩/힙합,2013,네,42
91,랩/힙합,2013,날,52
93,랩/힙합,2013,거,12
97,랩/힙합,2013,얘기,22
99,랩/힙합,2013,란,10
4,랩/힙합,2013,우리,13
5,랩/힙합,2013,사이,12
8,랩/힙합,2013,끝,17
14,랩/힙합,2013,지금,17
19,랩/힙합,2013,남아,11
31,랩/힙합,2013,하나,20
32,랩/힙합,2013,걸,26
38,랩/힙합,2013,건,17
40,랩/힙합,2013,속,20
42,랩/힙합,2013,없어,37
47,랩/힙합,2013,젠,10
49,랩/힙합,2013,친구,11
63,랩/힙합,2013,느낌,10
76,랩/힙합,2013,전,13
78,랩/힙합,2013,사랑,36
3,랩/힙합,2013,내일,11
9,랩/힙합,2013,줄,12
12,랩/힙합,2013,술,10
18,랩/힙합,2013,서로,12
25,랩/힙합,2013,뭐,10
34,랩/힙합,2013,아니야,39
35,랩/힙합,2013,그냥,32
37,랩/힙합,2013,그래,16
38,랩/힙합,2013,아니,18
88,랩/힙합,2013,또,11
94,랩/힙합,2013,이제,15
96,랩/힙합,2013,눈,19
103,랩/힙합,2013,집,12
106,랩/힙합,2013,사람,29
12,랩/힙합,2013,안,13
19,랩/힙합,2013,있는,10
26,랩/힙합,2013,더,24
28,랩/힙합,2013,수,21
51,랩/힙합,2013,소리,10
62,랩/힙합,2013,혼자,16
63,랩/힙합,2013,눈물,43
74,랩/힙합,2013,며칠,11
78,랩/힙합,2013,게,13
91,랩/힙합,2013,그,28
105,랩/힙합,2013,이름,12
0,랩/힙합,2013,그대,12
6,랩/힙합,2013,가슴,11
64,랩/힙합,2013,듯,14
87,랩/힙합,2013,둘,10
53,랩/힙합,2013,여기,10
52,랩/힙합,2013,같아,11
66,랩/힙합,2013,같은,15
1,랩/힙합,2013,입술,12
6,랩/힙합,2013,마음,26
20,랩/힙합,2013,비,14
34,랩/힙합,2013,이별,11
117,랩/힙합,2013,뿐,12
60,랩/힙합,2013,좋아,12
81,랩/힙합,2013,노래,11
40,랩/힙합,2013,이건,10
8,랩/힙합,2013,어때,10
20,랩/힙합,2013,당신,11
6,랩/힙합,2014,얘기,14
8,랩/힙합,2014,시간,16
9,랩/힙합,2014,줄,11
10,랩/힙합,2014,이,32
11,랩/힙합,2014,밤,32
16,랩/힙합,2014,여자,10
18,랩/힙합,2014,서로,11
23,랩/힙합,2014,너,126
24,랩/힙합,2014,지금,22
25,랩/힙합,2014,뭐,23
28,랩/힙합,2014,없는,20
29,랩/힙합,2014,문자,11
30,랩/힙합,2014,난,91
34,랩/힙합,2014,아니야,26
35,랩/힙합,2014,그냥,18
37,랩/힙합,2014,그래,20
38,랩/힙합,2014,아니,21
43,랩/힙합,2014,전,11
52,랩/힙합,2014,나,110
54,랩/힙합,2014,좀,12
60,랩/힙합,2014,후회,11
63,랩/힙합,2014,왜,24
65,랩/힙합,2014,그녀,10
71,랩/힙합,2014,오늘,20
82,랩/힙합,2014,걸,17
88,랩/힙합,2014,또,31
92,랩/힙합,2014,넌,38
94,랩/힙합,2014,이제,15
95,랩/힙합,2014,해,12
96,랩/힙합,2014,눈,20
103,랩/힙합,2014,집,10
106,랩/힙합,2014,사람,31
115,랩/힙합,2014,내,113
0,랩/힙합,2014,니,38
6,랩/힙합,2014,마음,10
8,랩/힙합,2014,눈물,18
11,랩/힙합,2014,게,16
12,랩/힙합,2014,말,44
21,랩/힙합,2014,듯,21
22,랩/힙합,2014,하늘,10
28,랩/힙합,2014,속,10
32,랩/힙합,2014,여기,13
34,랩/힙합,2014,이별,24
35,랩/힙합,2014,것,34
36,랩/힙합,2014,같아,18
37,랩/힙합,2014,순간,10
41,랩/힙합,2014,널,26
46,랩/힙합,2014,날,27
47,랩/힙합,2014,있어,24
56,랩/힙합,2014,더,50
60,랩/힙합,2014,수,14
78,랩/힙합,2014,우린,12
96,랩/힙합,2014,다시,13
97,랩/힙합,2014,때,28
102,랩/힙합,2014,모습,10
106,랩/힙합,2014,그,26
110,랩/힙합,2014,없어,18
114,랩/힙합,2014,끝,18
116,랩/힙합,2014,우리,38
126,랩/힙합,2014,사랑,47
135,랩/힙합,2014,알,14
4,랩/힙합,2014,생각,13
8,랩/힙합,2014,바람,14
19,랩/힙합,2014,여름밤,24
20,랩/힙합,2014,꿀,23
45,랩/힙합,2014,하나,12
65,랩/힙합,2014,꽃,13
76,랩/힙합,2014,이건,22
77,랩/힙합,2014,마치,15
85,랩/힙합,2014,안,54
115,랩/힙합,2014,같은,11
14,랩/힙합,2014,모든,11
31,랩/힙합,2014,위,15
55,랩/힙합,2014,돈,22
57,랩/힙합,2014,삶,22
61,랩/힙합,2014,아름다운,11
69,랩/힙합,2014,세상,12
100,랩/힙합,2014,못,10
26,랩/힙합,2014,네,15
71,랩/힙합,2014,위로,13
89,랩/힙합,2014,건,12
97,랩/힙합,2014,절대,11
105,랩/힙합,2014,곁,10
26,랩/힙합,2014,소리,18
97,랩/힙합,2014,짓,18
2,랩/힙합,2014,연결고리,16
44,랩/힙합,2014,늪,12
48,랩/힙합,2014,미친,26
49,랩/힙합,2014,듯이,14
70,랩/힙합,2014,꽃처럼,10
37,랩/힙합,2014,으르렁,36
17,랩/힙합,2014,그대,19
1,랩/힙합,2015,밤,34
2,랩/힙합,2015,잠,19
4,랩/힙합,2015,생각,24
5,랩/힙합,2015,너,128
6,랩/힙합,2015,줄,18
8,랩/힙합,2015,바람,16
9,랩/힙합,2015,있는,19
10,랩/힙합,2015,우리,32
12,랩/힙합,2015,별,15
14,랩/힙합,2015,듯,15
16,랩/힙합,2015,뭐,18
17,랩/힙합,2015,더,70
18,랩/힙합,2015,있어,13
19,랩/힙합,2015,여름밤,24
20,랩/힙합,2015,꿀,23
23,랩/힙합,2015,어떻게,10
24,랩/힙합,2015,나,117
26,랩/힙합,2015,그냥,33
27,랩/힙합,2015,일,12
28,랩/힙합,2015,넌,55
31,랩/힙합,2015,그,39
32,랩/힙합,2015,사람,22
39,랩/힙합,2015,시간,13
45,랩/힙합,2015,하나,10
52,랩/힙합,2015,왜,10
53,랩/힙합,2015,말,58
69,랩/힙합,2015,거,14
70,랩/힙합,2015,좀,32
75,랩/힙합,2015,오늘,31
76,랩/힙합,2015,이건,10
77,랩/힙합,2015,마치,14
78,랩/힙합,2015,우린,12
79,랩/힙합,2015,지금,28
80,랩/힙합,2015,노래,15
85,랩/힙합,2015,안,28
95,랩/힙합,2015,여자,17
104,랩/힙합,2015,이,46
105,랩/힙합,2015,순간,12
106,랩/힙합,2015,둘,10
115,랩/힙합,2015,같은,19
121,랩/힙합,2015,널,33
122,랩/힙합,2015,보고,17
2,랩/힙합,2015,내,169
5,랩/힙합,2015,눈물,25
12,랩/힙합,2015,해도,11
16,랩/힙합,2015,위,16
17,랩/힙합,2015,그대,28
18,랩/힙합,2015,머리,23
21,랩/힙합,2015,차가운,10
27,랩/힙합,2015,난,120
29,랩/힙합,2015,뒤,11
32,랩/힙합,2015,눈,24
37,랩/힙합,2015,없는,18
1,랩/힙합,2015,사랑,45
4,랩/힙합,2015,걸,27
8,랩/힙합,2015,위로,16
12,랩/힙합,2015,싫어,10
23,랩/힙합,2015,미친,49
24,랩/힙합,2015,짓,19
29,랩/힙합,2015,또,42
32,랩/힙합,2015,젠,16
38,랩/힙합,2015,아닌,12
42,랩/힙합,2015,수,27
46,랩/힙합,2015,다시,16
48,랩/힙합,2015,그런,11
52,랩/힙합,2015,이상,14
59,랩/힙합,2015,좋아,19
79,랩/힙합,2015,날,63
82,랩/힙합,2015,차,11
84,랩/힙합,2015,반복,10
19,랩/힙합,2015,해,60
20,랩/힙합,2015,남자,13
30,랩/힙합,2015,니,39
43,랩/힙합,2015,모두,13
45,랩/힙합,2015,것,56
46,랩/힙합,2015,빵,18
49,랩/힙합,2015,마,28
55,랩/힙합,2015,저,11
56,랩/힙합,2015,하늘,15
57,랩/힙합,2015,때,39
60,랩/힙합,2015,곳,11
82,랩/힙합,2015,네,53
4,랩/힙합,2015,거울,11
5,랩/힙합,2015,속,18
7,랩/힙합,2015,상처,10
16,랩/힙합,2015,없어,23
38,랩/힙합,2015,이제,16
46,랩/힙합,2015,손,10
62,랩/힙합,2015,모든,16
84,랩/힙합,2015,아무,38
87,랩/힙합,2015,가끔,10
94,랩/힙합,2015,두,11
