ids,Year,Source,Target,Weight
47,2002,모습(N),빼(P),5
48,2002,모습(N),웃(P),6
49,2002,몸(N),감싸(P),9
50,2002,물레(N),돌(P),6
51,2002,물레(N),둥글(P),6
52,2002,미래(N),위하(P),6
53,2002,바닷가(N),떠나(P),5
54,2002,바보(N),같(P),5
55,2002,발(N),바르(P),14
56,2002,밤(N),깊(P),5
57,2002,사람(N),가(P),5
58,2002,사람(N),되(P),9
59,2002,사람(N),수많(P),5
60,2002,사람(N),없(P),5
61,2002,사람(N),좋(P),7
62,2002,사랑(N),가(P),5
63,2002,사랑(N),그(P),7
64,2002,사랑(N),되(P),10
65,2002,사랑(N),변하(P),6
66,2002,사랑(N),빠지(P),11
67,2002,사랑(N),없(P),17
68,2002,사랑(N),위하(P),5
69,2002,사랑(N),있(P),15
70,2002,사랑(N),찾아가(P),5
71,2002,사랑(N),택하(P),8
72,2002,사랑(N),하(P),13
73,2002,세상(N),없(P),8
74,2002,소리(N),지르(P),9
75,2002,소리(N),크(P),5
76,2002,속(N),이(P),5
77,2002,손(N),흔들(P),10
78,2002,수(N),없(P),10
79,2002,시간(N),흐르(P),9
80,2002,시련(N),없(P),6
81,2002,신(N),나(P),5
82,2002,신사(N),나가(P),5
83,2002,아무것(N),없(P),5
84,2002,애(N),쓰(P),5
85,2002,애(N),잊(P),6
86,2002,애인(N),되(P),8
87,2002,왕년(N),되(P),8
88,2002,용기(N),내(P),6
89,2002,용기(N),다가가(P),5
90,2002,용기(N),위하(P),5
91,2002,우정(N),택하(P),6
92,2002,원(N),원하(P),5
93,2002,원(N),하(P),11
94,2002,음악(N),미치(P),6
95,2002,이별(N),하(P),5
96,2002,이상(N),기다리(P),5
97,2002,이상(N),없(P),9
98,2002,이제(N),빠지(P),6
99,2002,이제(N),알(P),10
100,2002,이제(N),없(P),19
101,2002,이제(N),있(P),6
102,2002,이제(N),하(P),6
103,2002,인생(N),즐기(P),6
104,2002,입술(N),훔치(P),9
105,2002,자신(N),없(P),12
106,2002,지금(N),되(P),8
107,2002,챔피언(N),미치(P),6
108,2002,챔피언(N),즐기(P),8
109,2002,챔피언(N),지르(P),6
110,2002,추억(N),아름답(P),5
111,2002,친구(N),되(P),8
112,2002,코(N),다치(P),6
113,2002,품(N),있(P),5
114,2002,한계(N),뛰어넘(P),7
115,2002,행복(N),없(P),6
116,2002,행복(N),있(P),8
117,2002,힘(N),들(P),5
0,2003,가슴(N),아프(P),8
1,2003,감옥(N),나가(P),5
2,2003,거리(N),걷(P),6
3,2003,걸(N),없(P),5
4,2003,게(N),돌아오(P),5
5,2003,결혼(N),하(P),5
6,2003,곁(N),없(P),9
7,2003,곁(N),있(P),6
8,2003,곳(N),같(P),6
9,2003,곳(N),있(P),5
10,2003,곳(N),작(P),5
11,2003,기억(N),나(P),6
12,2003,기억(N),잃어버리(P),5
13,2003,길(N),가(P),8
14,2003,꿈(N),꾸(P),11
15,2003,꿈(N),잃(P),5
16,2003,끝(N),하(P),5
17,2003,날(N),같(P),6
18,2003,날(N),떠나(P),6
19,2003,날(N),떠나가(P),5
20,2003,날(N),버리(P),11
21,2003,날(N),보(P),8
22,2003,날(N),아프(P),7
23,2003,날(N),없(P),6
24,2003,날(N),오(P),5
25,2003,날(N),외롭(P),9
26,2003,날(N),좋(P),28
27,2003,날(N),지키(P),6
28,2003,남자기(N),울(P),6
29,2003,눈(N),감(P),8
30,2003,눈(N),보(P),5
31,2003,눈물(N),되(P),6
32,2003,눈물(N),보내(P),6
33,2003,눈물(N),흐르(P),8
34,2003,님(N),담(P),6
35,2003,덤(N),덤(P),16
36,2003,동네(N),돌(P),7
37,2003,때(N),기다리(P),5
38,2003,때(N),나(P),7
39,2003,때(N),나가(P),5
40,2003,때(N),역겹(P),7
41,2003,마음(N),아프(P),12
42,2003,만(N),없(P),5
43,2003,말(N),나(P),6
44,2003,말(N),많(P),5
45,2003,말(N),보(P),5
46,2003,말(N),없(P),6
47,2003,말(N),하(P),44
48,2003,맘(N),슬프(P),5
49,2003,맘(N),알(P),13
50,2003,맘(N),작(P),9
51,2003,맘(N),잡(P),6
52,2003,바보(N),같(P),10
53,2003,밤(N),지(P),5
54,2003,별(N),담(P),6
55,2003,비(N),내리(P),5
56,2003,사람(N),나(P),12
57,2003,사람(N),모르(P),5
58,2003,사람(N),알(P),14
59,2003,사람(N),없(P),5
60,2003,사람(N),원하(P),13
61,2003,사랑(N),같(P),7
62,2003,사랑(N),그(P),5
63,2003,사랑(N),나(P),5
64,2003,사랑(N),남(P),9
65,2003,사랑(N),되(P),10
66,2003,사랑(N),뜨겁(P),5
67,2003,사랑(N),믿(P),7
68,2003,사랑(N),바라(P),5
69,2003,사랑(N),버리(P),5
70,2003,사랑(N),알(P),11
71,2003,사랑(N),없(P),12
72,2003,사랑(N),원하(P),6
73,2003,사랑(N),잊(P),12
74,2003,사랑(N),하(P),28
75,2003,생각(N),가두(P),5
76,2003,생각(N),나(P),11
77,2003,생각(N),하(P),5
78,2003,세상(N),끝나(P),7
79,2003,소망(N),작(P),5
80,2003,손(N),잡(P),16
81,2003,순간(N),보(P),9
82,2003,숨(N),쉬(P),6
83,2003,슬픔(N),기다리(P),7
84,2003,시간(N),가(P),5
85,2003,시간(N),되(P),5
86,2003,시간(N),많(P),5
87,2003,시간(N),흐르(P),5
88,2003,시간(N),흘러가(P),7
89,2003,안(N),살(P),5
90,2003,애(N),쓰(P),8
91,2003,얘기(N),하(P),9
92,2003,얼굴(N),기막(P),6
93,2003,얼굴(N),붉히(P),6
94,2003,얼굴(N),하(P),6
95,2003,얼굴(N),히(P),6
96,2003,여자(N),약하(P),12
97,2003,오(N),달(P),5
98,2003,오(N),담(P),5
99,2003,오오(N),돌아와(P),5
100,2003,오오(N),버리(P),5
101,2003,용서(N),있(P),7
102,2003,웃음(N),짓(P),5
103,2003,원(N),하(P),5
104,2003,이제(N),끝(P),5
105,2003,이제(N),없(P),7
106,2003,이제(N),작(P),5
107,2003,이제(N),좋(P),7
108,2003,자신(N),없(P),6
109,2003,자신(N),있(P),6
110,2003,재미(N),없(P),6
111,2003,전부(N),기다리(P),7
112,2003,주(N),가(P),6
113,2003,주먹(N),믿(P),5
114,2003,주먹(N),쥐(P),5
115,2003,치키(N),덤(P),22
116,2003,태양(N),달(P),5
117,2003,태양(N),담(P),5
118,2003,필요(N),없(P),5
119,2003,하늘(N),날아오르(P),8
120,2003,하늘(N),되(P),11
121,2003,햇님(N),담(P),6
122,2003,행복(N),없(P),9
123,2003,희망(N),달(P),5
124,2003,희망(N),담(P),5
0,2004,가슴(N),뜨겁(P),5
1,2004,가슴(N),모르(P),8
2,2004,가슴(N),아프(P),8
3,2004,건(N),없(P),8
4,2004,걸(N),알(P),5
5,2004,곁(N),없(P),5
6,2004,곁(N),있(P),17
7,2004,곳(N),가(P),5
8,2004,기분(N),좋(P),9
9,2004,꿈(N),남기(P),7
10,2004,꿈(N),좋(P),6
11,2004,끝(N),죽(P),5
12,2004,나(N),나나(P),6
13,2004,난(N),누(P),5
14,2004,날(N),같(P),5
15,2004,날(N),떠나(P),5
16,2004,날(N),많(P),5
17,2004,날(N),보(P),5
18,2004,날(N),오(P),7
19,2004,날(N),있(P),5
20,2004,날(N),좋(P),6
21,2004,날(N),죽(P),7
22,2004,남자(N),그러(P),6
23,2004,내속(N),모르(P),8
24,2004,노래(N),부르(P),9
25,2004,노래(N),없(P),5
26,2004,눈(N),감(P),9
27,2004,눈(N),뜨(P),8
28,2004,눈(N),하(P),6
29,2004,눈물(N),보이(P),6
30,2004,눈물(N),흐르(P),6
31,2004,눈물(N),흘리(P),6
32,2004,때(N),되(P),5
33,2004,때(N),모르(P),12
34,2004,때(N),버리(P),6
35,2004,때(N),보(P),5
36,2004,때(N),슬프(P),8
37,2004,때(N),아프(P),5
38,2004,때(N),있(P),5
39,2004,마음(N),알(P),6
40,2004,마음(N),없(P),7
41,2004,마음(N),있(P),5
42,2004,말(N),고맙(P),7
43,2004,말(N),믿(P),5
44,2004,말(N),보(P),5
45,2004,말(N),없(P),11
46,2004,말(N),있(P),8
47,2004,말(N),전하(P),7
48,2004,말(N),하(P),22
49,2004,맘(N),모르(P),23
50,2004,맘(N),버리(P),6
51,2004,모두(N),가(P),6
52,2004,밑(N),죽(P),5
